	artist	song
302697	Linda Scott	Who's Been Sleeping In My Bed?
302730	Trini Lopez	Kansas City
302734	Garnet Mimms & The Enchanters	For Your Precious Love
302738	Dick and DeeDee	Turn Around
302743	The Beach Boys	Be True To Your School
302749	The Chiffons	I Have A Boyfriend
302754	The Orlons	Bon-Doo-Wah
302759	Murry Kellum	Long Tall Texan
302765	The Raindrops	That Boy John
302773	Frank Ifield	Please
302780	Jay & The Americans	Come Dance With Me
302797	Andy Williams	Charade
302836	Dale & Grace	I'm Leaving It Up To You
302837	The Secrets	The Boy Next Door
302838	Tommy Roe	Everybody
302841	The Beach Boys	In My Room
302845	Peter, Paul & Mary	Stewball
302846	The Duprees featuring Joey Vann	Have You Heard
302847	Garnet Mimms & The Enchanters	Baby Don't You Weep
302882	Paul Petersen	The Cheer Leader
302883	The Cascades	For Your Sweet Love
302888	Bobby Bland	The Feeling Is Gone
302891	Gene Thomas	Baby's Gone
302894	Duane Eddy	The Son Of Rebel Rouser
302895	The Pixies Three	Cold Cold Winter
302896	Maxine Brown	Coming Back To You
302940	Robin Ward	Wonderful Summer
302947	Rufus Thomas	Walking The Dog
302949	Neil Sedaka	Bad Girl
302951	Lesley Gore	She's A Fool
302956	The Dynamics	Misery
302962	The Kingston Trio	Ally Ally Oxen Free
302970	Bobby Darin	Be Mad Little Girl
302994	Johnny Mathis	I'll Search My Heart
302995	The Lettermen	Where Or When
303031	Sam Cooke	Little Red Rooster
303040	Al Martino	Living A Lie
303041	Gene Pitney	Twenty Four Hours From Tulsa
303044	Jimmy Gilmer And The Fireballs	Sugar Shack
303045	The Impressions	It's All Right
303047	Sunny & The Sunliners	Rags To Riches
303054	Little Peggy March	The Impossible Happened
303066	The David Rockingham Trio	Dawn
303071	Marty Robbins	Begging To You
303086	The Brothers Four	Hootenanny Saturday Night
303089	Paul Anka	Did You Have A Happy Birthday?
303096	Bobby Vee	Never Love A Robin
303129	The Village Stompers	Washington Square
303132	Major Lance	Hey Little Girl
303136	Nino Tempo & April Stevens	Deep Purple
303138	Barry & The Tamerlanes	I Wonder What She's Doing Tonight
303146	Solomon Burke	You're Good For Me
303147	Los Indios Tabajaras	Maria Elena
303151	The Dixiebelles	(Down At) Papa Joe's
303153	Elvis Presley With The Jordanaires	Bossa Nova Baby
303157	Bobby Vee	Yesterday And You (Armen's Theme)
303167	The Galens	Baby I Do Love You
303171	Steve Alaimo	Gotta Lotta Love
303181	The Angels	Thank You And Goodnight
303194	Randy & The Rainbows	Why Do Kids Grow Up
303238	Bobby Bare	500 Miles Away From Home
303240	Steve Lawrence	Walking Proud
303253	The Essex Featuring Anita Humes	She's Got Everything
303263	Freddie Scott	I Got A Woman
303265	Ruby And The Romantics	Young Wings Can Fly (Higher Than You Know)
303269	Del Shannon	Sue's Gotta Be Mine
303289	Dee Clark	Crossfire Time
303290	The Allisons	Surfer Street
303334	The Angels	I Adore Him
303340	Rick Nelson	Fools Rush In
303341	Patti LaBelle And The Blue Belles	Down The Aisle (Wedding Song)
303343	The New Christy Minstrels	Saturday Night
303346	Johnny Cash	The Matador
303355	Wayne Newton And The Newton Brothers	Shirl Girl
303368	Tommy Hunt	I Am A Witness
303371	Lou Johnson	Reach Out For Me
303389	Chuck Jackson	Any Other Way
303393	Wilson Pickett	I'm Down To My Last Heartbreak
303395	Inez Foxx	Hi Diddle Diddle
303396	Debbie Dovale	Hey Lover
303431	Skeeter Davis	I Can't Stay Mad At You
303432	Roy Orbison	Mean Woman Blues
303433	Betty Harris	Cry To Me
303434	Connie Francis	Your Other Love
303436	Lloyd Price	Misty
303437	Dee Dee Sharp	Wild!
303440	Elvis Presley With The Jordanaires	Witchcraft
303463	Vito & The Salutations	Unchained Melody
303488	Jack Nitzsche	Rumble
303489	Lena Horne	Now!
303490	Lonnie Mack	Baby, What's Wrong
303495	Johnnie Taylor	Baby, We've Got Love
303529	Ray Charles and his Orchestra	Busted
303532	Nat King Cole	That Sunday, That Summer
303533	Mary Wells	You Lost The Sweetest Boy
303537	Sunny & The Sunglows	Talk To Me
303545	Dion (Di Muci)	Donna The Prima Donna
303546	The Ronettes	Be My Baby
303547	The Orlons	Cross Fire!
303550	Darlene Love	A Fine Fine Boy
303551	Tony Bennett	Don't Wait Too Long
303552	Johnny Tillotson	Funny How Time Slips Away
303566	Timi Yuro	Gotta Travel On
303569	Ben E. King	I Could Have Danced All Night
303571	Johnny Mathis	Your Teenage Dreams
303575	Jimmie Rodgers	Two-Ten, Six-Eighteen (Doesn't Anybody Know My Name)
303595	Steve Allen and His Orchestra with The Copacabana Trio	Cuando Calienta El Sol (When The Sun Is Hot)
303597	The Charmettes	Please Don't Kiss Me Again
303634	Peter, Paul & Mary	Don't Think Twice, It's All Right
303636	Garnet Mimms & The Enchanters	Cry Baby
303639	Brenda Lee	The Grass Is Greener
303645	Roy Orbison	Blue Bayou
303646	Bobby Vinton	Blue Velvet
303648	The 4 Seasons	New Mexican Rose
303649	Richard Chamberlain	Blue Guitar
303650	The Surfaris	Point Panic
303660	Rusty Draper	Night Life
303662	Johnny Mathis	Come Back
303663	The Jaynetts	Sally, Go 'round The Roses
303691	The Dovells	Stop Monkeyin' Aroun'
303732	Jan & Dean	Honolulu Lulu
303735	Little Stevie Wonder	Workout Stevie, Workout
303742	Fats Domino	Red Sails In The Sunset
303743	The Drifters	I'll Take You Home
303747	Bill Black's Combo	Monkey-Shine
303752	Brook Benton	Two Tickets To Paradise
303757	Little Johnny Taylor	Part Time Love
303759	The Busters	Bust Out
303774	James Brown And The Famous Flames	Signed, Sealed, And Delivered
303787	Joan Baez	We Shall Overcome
303790	Morty Jay And The Surferin' Cats	Saltwater Taffy
303792	The Four Pennies	When The Boy's Happy (The Girl's Happy Too)
303839	The Beach Boys	Surfer Girl
303840	The Miracles	Mickey's Monkey
303843	Martha & The Vandellas	Heat Wave
303846	The Crystals	Then He Kissed Me
303854	The Chiffons	A Love So Fine
303856	Little Peggy March	Hello Heartache, Goodbye Love
303857	The Angels	My Boyfriend's Back
303861	Donald Jenkins & The Delighters	(Native Girl) Elephant Walk
303866	Keith Colley	Enamorado
303867	Billy Stewart	Strange Feeling
303874	Marvin Gaye	I'm Crazy 'Bout My Baby
303877	Eydie Gorme	Everybody Go Home
303891	The Hearts	Dear Abby
303893	Jimmy Smith	(Theme From) Any Number Can Win
303894	The Shirelles	31 Flavors
303942	The Beach Boys	Little Deuce Coupe
303943	The Tymes	Wonderful! Wonderful!
303946	Jay & The Americans	Only In America
303948	Trini Lopez	If I Had A Hammer
303949	The Essex Featuring Anita Humes	A Walkin' Miracle
303950	The Ran-Dells	Martian Hop
303955	Jimmy Durante	September Song
303956	Ray Stevens	Speed Ball
303957	Paul and Paula	First Day Back At School
303960	Etta James	Two Sides (To Every Story)
303965	Alice Wonder Land	He's Mine (I Love Him, I Love Him, I Love Him)
303967	Brenda Lee	Sweet Impossible You
303984	Joe Perkins	Little Eeefin Annie
303989	The Shirelles	It's A Mad, Mad, Mad, Mad World
303995	Dick Dale and The Del-Tones	The Scavenger
303997	The Smothers Brothers	Jenny Brown
304041	Major Lance	The Monkey Time
304051	The Raindrops	The Kind Of Boy You Can't Forget
304052	Inez Foxx with Charlie Foxx	Mockingbird
304054	Bobby Darin	Treat My Baby Good
304055	Vic Dana	More
304056	Lonnie Mack	Wham!
304060	Frank Ifield	I'm Confessin' (That I Love You)
304068	Jackie Wilson	Baby Get It (And Don't Quit It)
304072	The Righteous Brothers	My Babe
304077	Johnny Crawford	Cindy's Gonna Cry
304085	The 4 Seasons	That's The Only Way
304138	Al Martino	Painted, Tainted Rose
304140	Johnny Tillotson	You Can Never Stop Me Loving You
304144	Freddie Scott	Hey, Girl
304145	The Pixies Three	Birthday Party
304147	The Dovells	Betty In Bermudas
304152	The Shirelles	What Does A Girl Do?
304157	Kai Winding & Orchestra	More
304182	Joe Sherman, his Orchestra and Chorus	Toys In The Attic
304184	Tracey Dey	Teenage Cleopatra
304186	Joe Hinton	Better To Give Than Receive
304187	Ben Colder	Detroit City No. 2
304192	Dave Dudley	Cowboy Boots
304194	The O'Jays	Lonely Drifter
304197	Baby Washington	Hey Lonely One
304241	Allan Sherman	Hello Mudduh, Hello Fadduh! (A Letter From Camp)
304242	Ruby And The Romantics	Hey There Lonely Boy
304244	Sam Cooke	Frankie And Johnny
304246	Peter, Paul & Mary	Blowin' In The Wind
304249	The Duprees featuring Joey Vann	Why Don't You Believe Me
304252	Randy & The Rainbows	Denise
304261	The Surfaris	Surfer Joe
304268	Theola Kilgore	This Is My Prayer
304289	Jack Jones	Toys In The Attic
304290	Dick and DeeDee	Where Did The Good Times Go
304294	George Maharis	That's How It Goes
304295	Bobby Rydell	Let's Make Love Tonight
304297	Steve Alaimo	Michael - Pt. 1
304346	Diane Ray	Please Don't Talk To The Lifeguard
304347	The 4 Seasons	Candy Girl
304348	Steve & Eydie	I Want To Stay Here
304349	Timi Yuro	Make The World Go Away
304351	Jack Nitzsche	The Lonely Surfer
304353	Wayne Newton And The Newton Brothers	Danke Schoen
304354	Barbara Lewis	Straighten Up Your Heart
304357	Bill Anderson	8 X 10
304358	Little Stevie Wonder	Fingertips - Pt 2
304361	Kyu Sakamoto	China Nights (Shina No Yoru)
304362	Wilson Pickett	It's Too Late
304376	Barbara Lynn	(I Cried at) Laura's Wedding
304382	Nancy Wilson	Tell Me The Truth
304389	Nat King Cole	Mr. Wishing Well
304392	Rolf Harris	Nick Teen And Al K. Hall
304436	The Kingston Trio	Desert Pete
304444	The High Keyes	Que Sera, Sera (Whatever Will Be, Will Be)
304446	Darlene Love	Wait Til' My Bobby Gets Home
304459	Connie Francis	Drownin' My Sorrows
304463	Cliff Richard	Lucky Lips
304466	George Hamilton IV	Abilene
304468	Baby Washington	Leave Me Alone
304480	Gene McDaniels	It's A Lonely Town (Lonely Without You)
304481	Johnny Mathis	Sooner Or Later
304482	Booker T. & The MG's	Chinese Checkers
304483	Gene Chandler	Man's Temptation
304486	Paul and Paula	Something Old, Something New
304492	The Tokens	Hear The Bells
304494	Patsy Cline	Faded Love
304495	Bobby Comstock And The Counts	Your Boyfriend's Back
304534	Lesley Gore	Judy's Turn To Cry
304540	The New Christy Minstrels	Green, Green
304542	Gene Pitney	True Love Never Runs Smooth
304544	Ben E. King	I (Who Have Nothing)
304553	Andrea Carroll	It Hurts To Be Sixteen
304554	Freddy Cannon	Everybody Monkey
304589	Etta James	Pay Back
304590	Duane Eddy	Your Baby's Gone Surfin'
304630	The Tymes	So Much In Love
304638	Chubby Checker	Twist It Up
304639	Elvis Presley With The Jordanaires	(You're the) Devil In Disguise
304641	Jan & Dean	Surf City
304654	Billy Abbott And The Jewels	Groovy Baby
304655	Doris Troy	Just One Look
304656	Mel Carter	When A Boy Falls In Love
304657	Neil Sedaka	The Dreamer
304670	The Marvelettes	My Daddy Knows Best
304672	The Supremes	A Breath Taking Guy
304673	"Dave ""Baby"" Cortez"	Organ Shout
304685	The Rip Chords	Gone
304689	King Curtis	Do The Monkey
304691	Kim Weston	Love Me All The Way
304734	Brenda Lee	My Whole World Is Falling Down
304738	The Essex	Easier Said Than Done
304739	The 4 Seasons	Marlena
304743	Bobby Bare	Detroit City
304745	Lonnie Mack	Memphis
304746	Andy Williams	Hopeless
304749	Al Casey	Surfin' Hootenanny
304757	The Rooftop Singers	Mama Don't Allow
304758	The Blenders	Daughter
304761	Brenda Lee	I Wonder
304764	Burl Ives	This Is All I Ask
304767	Tony Bennett	This Is All I Ask
304772	Jackie Wilson	Shake! Shake! Shake!
304774	James Brown And The Famous Flames	These Foolish Things
304778	Dionne Warwick	Make The Music Play
304797	Ray Price	Make The World Go Away
304836	Johnny Cash	Ring Of Fire
304862	Bobby Bland	Sometimes You Gotta Cry A Little
304863	Solomon Burke	Can't Nobody Love You
304874	Johnny Cymbal	Dum Dum Dee Dum
304886	The King Pins	It Won't Be This Way (Always)
304889	T.K. Hulin	I'm Not A Fool Anymore
304896	The Dartells	Dance, Everybody, Dance
304929	Rolf Harris	Tie Me Kangaroo Down, Sport
304935	The Classics	Till Then
304936	Marvin Gaye	Pride And Joy
304937	The Orlons	Not Me
304938	Dave Dudley	Six Days On The Road
304942	Roy Clark	Tips Of My Fingers
304943	Dion	Be Careful Of Stones That You Throw
304946	Lou Christie	How Many Teardrops
304960	Brian Hyland	I'm Afraid To Go Home
304965	Chubby Checker	Surf Party
304967	Richard Chamberlain	I Will Love You
304995	Chris Kenner	Land Of 1000 Dances
304996	Tammy Montgomery	I Cried
305034	Kyu Sakamoto	Sukiyaki
305038	Brook Benton	My True Confession
305041	The Fleetwoods	Goodnight My Love
305045	Bobby Vinton	Blue On Blue
305054	Dee Dee Sharp	Rock Me In The Cradle Of Love
305055	The Glencoves	Hootenanny
305056	Ray Charles	No One
305059	The Shirelles	Don't Say Goodnight And Mean Goodbye
305061	The Cupids	Brenda
305064	Ray Stevens	Harry The Hairy Ape
305085	The Olympics	Dancin' Holiday
305090	Burt Bacharach	Saturday Sunshine
305092	Sonny James	The Minute You're Gone
305096	Ben Colder	Still No. 2
305133	The Chiffons	One Fine Day
305141	Ray Charles	Without Love (There Is Nothing)
305144	Barbara Lewis	Hello Stranger
305146	Bobby Vee	Be True To Yourself
305147	Lesley Gore	It's My Party
305161	The Five Du-Tones	Shake A Tail Feather
305164	Ace Cannon	Cottonfields
305169	The Cookies	Will Power
305178	Link Wray And The Wraymen	Jack The Ripper
305186	Joey Dee	Dance, Dance, Dance
305194	Johnny Caswell	At The Shore
305196	Tony Bennett	True Blue Lou
305233	Tom Glazer And The Do-Re-Mi Children's Chorus	On Top Of Spaghetti
305239	Ruby And The Romantics	My Summer Love
305240	Big Dee Irwin (with Little Eva)	Swinging On A Star
305242	Perry Como	(I Love You) Don't You Forget It
305248	Roy Orbison	Falling
305250	Nat King Cole	Those Lazy-Hazy-Crazy Days Of Summer
305251	The Dovells	You Can't Sit Down
305254	Kirby St. Romain	Summer's Comin'
305266	The Rocky Fellers	Like The Big Guys Do
305285	Ferrante & Teicher	Antony And Cleopatra Theme
305289	Count Basie	I Can't Stop Loving You
305290	Carla Thomas	What A Fool I've Been
305291	The Astronauts	Baja
305295	Richard Chamberlain	True Love
305333	Bill Anderson	Still
305338	The Beach Boys	Shut Down
305342	Rick Nelson	String Along
305345	Paul and Paula	First Quarrel
305351	Dion	Come Go With Me
305353	The Crystals	Da Doo Ron Ron (When He Walked Me Home)
305355	Martha & The Vandellas	Come And Get These Memories
305357	Al Martino	I Love You Because
305366	The Four Pennies	My Block
305374	Del Shannon	From Me To You
305379	The Drifters	Rat Race
305382	Bobby Vee	A Letter From Betty
305390	Chris Columbo Quintet	Summertime
305429	Little Peggy March	I Wish I Were A Princess
305436	Chubby Checker	Birdland
305450	Tony Bennett	The Good Life
305453	Mary Wells	Your Old Stand By
305458	Bobby Darin	18 Yellow Roses
305459	Steve Lawrence	Poor Little Rich Girl
305460	Bob B. Soxx And The Blue Jeans	Not Too Young To Get Married
305462	Eydie Gorme	Don't Try To Fight It, Baby
305465	Rick Nelson	Gypsy Woman
305466	Connie Francis	If My Pillow Could Talk
305482	Chuck Jackson	Tears Of Joy
305491	Birdlegs & Pauline And Their Versatility Birds	Spring
305492	Patti Page	Say Wonderful Things
305496	Jim Reeves	Guilty
305497	James MacArthur	The Ten Commandments Of Love
305538	Bobby Rydell	Wildwood Days
305544	Johnny Mathis	Every Step Of The Way
305547	Lou Christie	Two Faces Have I
305554	Jackie Wilson & Linda Hopkins	Shake A Hand
305555	Little Eva	Old Smokey Locomotion
305556	Theola Kilgore	The Love Of My Man
305576	Ray Peterson	Give Us Your Blessing
305583	The Exciters	Get Him
305593	Lawrence Welk And His Orchestra	Scarlett O'Hara
305630	Jimmy Soul	If You Wanna Be Happy
305634	James Brown And The Famous Flames	Prisoner Of Love
305635	Sam Cooke	Another Saturday Night
305638	Brenda Lee	Losing You
305653	The Olympics	The Bounce
305660	Fats Domino	There Goes (My Heart Again)
305661	Matt Lucas	I'm Movin' On
305663	The Routers	Sting Ray
305666	Solomon Burke	If You Need Me
305685	Bobby Pickett	Graduation Day
305694	Paul Anka	Hello Jim
305695	Ronnie Carroll	Say Wonderful Things
305735	Ray Barretto	El Watusi
305736	The Dartells	Hot Pastrami
305738	Etta James	Pushover
305741	The Shirelles	Foolish Little Girl
305743	Skeeter Davis	I'm Saving My Love
305746	Patsy Cline	Sweet Dreams (Of You)
305747	Ray Charles	Take These Chains From My Heart
305750	Neil Sedaka	Let's Go Steady Again
305755	Little Peggy March	I Will Follow Him
305758	The Righteous Brothers	Little Latin Lupe Lu
305762	Frankie Laine	Don't Make My Baby Blue
305774	The 4 Seasons Featuring Frankie Valli	Soon (I'll Be Home Again)
305789	Mongo Santamaria Orch.	Yeh-Yeh!
305790	Henry Mancini And His Orchestra	Banzai Pipeline
305797	Lawrence Welk And His Orchestra	Breakwater
305831	Chantay's	Pipeline
305835	The Rocky Fellers	Killer Joe
305840	The Raindrops	What A Guy
305842	The Kingston Trio	Reverend Mr. Black
305844	Peter, Paul & Mary	Puff (The Magic Dragon)
305858	Jimmy Reed	Shame, Shame, Shame
305859	Johnny Cymbal	Teenage Heaven
305862	The 4 Seasons	Ain't That A Shame!
305871	Freddy Cannon	Patty Baby
305877	Bill Black's Combo	Do It - Rat Now
305878	Jimmy Smith	Hobo Flats - Part I
305879	Duane Eddy	Lonely Boy, Lonely Guitar
305880	The Shacklefords	A Stranger In Your Town
305881	The Impressions	Sad, Sad Girl And Boy
305885	Joe Hinton	You Know It Ain't Right
305889	Tony Bennett	Spring In Manhattan
305895	Chubby Checker	Black Cloud
305935	Andy Williams	Can't Get Used To Losing You
305936	Dion	This Little Girl
305943	Joey Dee & the Starliters	Hot Pastrami With Mashed Potatoes - Part I
305960	Del Shannon	Two Kind Of Teardrops
305965	James Gilreath	Little Band Of Gold
305969	Baby Washington	That's How Heartaches Are Made
305970	Wilson Pickett	If You Need Me
305975	Steve Allen	Gravy Waltz
305981	Jackie DeShannon	Needles And Pins
305983	The Cascades	The Last Leaf
305989	Dinah Washington	Soulville
305991	The Marvelettes	Forever
305995	Otis Redding	These Arms Of Mine
306038	Andy Williams	Days Of Wine And Roses
306040	The Chiffons	He's So Fine
306043	Bobby Vee	Charms
306046	Gene Pitney	Mecca
306056	Paul Anka	Remember Diana
306091	Rufus Thomas	The Dog
306092	Cookie And His Cupcakes	Got You On My Mind
306093	Vic Dana	Danger
306096	Percy Mayfield	River's Invitation
306134	The Drifters	On Broadway
306141	Mongo Santamaria Band	Watermelon Man
306142	The Miracles	A Love She Can Count On
306143	The Cookies	Don't Say Nothin' Bad (About My Baby)
306145	The Rooftop Singers	Tom Cat
306147	Darlene Love	(Today I Met) The Boy I'm Gonna Marry
306148	Henry Mancini And His Orchestra	Days Of Wine And Roses
306155	Dick and DeeDee	Young And In Love
306156	Jackie Wilson	Baby Workout
306167	The Rivingtons	The Bird's The Word
306172	Jack Jones	Call Me Irresponsible
306175	Frank Sinatra	Call Me Irresponsible
306180	Shelley Fabares	Ronnie, Call Me When You Get A Chance
306193	"""Pookie"" Hudson"	I Know I Know
306196	Jimmy McGriff	The Last Minute (Pt. I)
306237	Jan & Dean	Linda
306245	Paul and Paula	Young Lovers
306260	Skeeter Davis	The End Of The World
306261	Kenny Chandler	Heart
306262	The Marvelettes	Locking Up My Heart
306263	The Rip Chords	Here I Stand
306268	The Appalachians	Bony Moronie
306284	Rockin' Rebels	Rockin' Crickets
306288	The Cascades	Shy Girl
306289	Wayne Newton And The Newton Brothers	Heart! (I Hear You Beating)
306290	Tommy Roe	The Folk Singer
306295	Carole King	He's A Bad Boy
306297	Ricky Nelson	Old Enough To Love
306338	The Orlons	South Street
306340	Dion	Sandy
306342	Bobby Vinton	Over The Mountain (Across The Sea)
306343	Dee Dee Sharp	Do The Bird
306352	Chubby Checker	Twenty Miles
306353	Gene Chandler	Rainbow
306356	Johnny Cymbal	Mr. Bass Man
306360	The Hippies (Formerly The Tams)	Memory Lane
306361	Jimmy Holiday	How Can I Forget
306365	The Contours	Don't Let Her Be Your Baby
306385	Jo Ann Campbell	Mother, Please!
306393	Mike Clifford	One Boy Too Late
306437	Steve Lawrence	Don't Be Afraid, Little Darlin'
306439	Ruby And The Romantics	Our Day Will Come
306440	Brook Benton	I Got What I Wanted
306442	Johnny Tillotson	Out Of My Mind
306445	Connie Francis	Follow The Boys
306452	Roy Orbison	In Dreams
306458	The Percells	What Are Boys Made Of
306462	Bill Pursell	Our Winter Love
306465	Jerry Butler	Whatever You Want
306470	Little Esther Phillips & Big Al Downing	You Never Miss Your Water (Till The Well Runs Dry)
306472	Maxine Brown	Ask Me
306483	The Belmonts	Ann-Marie
306486	Ferrante & Teicher	Theme From Lawrence Of Arabia
306543	The Cascades	Rhythm Of The Rain
306544	Eydie Gorme	Blame It On The Bossa Nova
306545	Tony Bennett	I Wanna Be Around
306546	Nat King Cole	All Over The World
306547	Richard Chamberlain	All I Have To Do Is Dream
306556	Brook Benton	Dearer Than Life
306563	Rolf Harris	Sun Arise
306570	Brenda Lee	He's So Heavenly
306592	"Dave ""Baby"" Cortez"	Hot Cakes! 1st Serving
306593	Charlie Russo	Preacherman
306637	Bobby Darin	You're The Reason I'm Living
306640	Boots Randolph and his Combo	Yakety Sax
306644	The Rebels	Wild Weekend
306646	Chubby Checker	Let's Limbo Some More
306647	Mary Wells	Laughing Boy
306651	The 4 Seasons	Walk Like A Man
306652	Rick Nelson	I Got A Woman
306655	George McCurn	I'm Just A Country Boy
306656	Rick Nelson	You Don't Love Me Anymore (And I Can Tell)
306662	The Exciters	He's Got The Power
306664	Paul Petersen	Amy
306673	Johnny Beecher and his Buckingham Road Quintet	Sax Fifth Avenue
306676	Ella Fitzgerald	Bill Bailey, Won't You Please Come Home
306681	Dionne Warwick	This Empty Place
306682	Ben E. King	How Can I Forget
306691	The Chantels	Eternally
306694	Joe Harnell And His Orchestra	Diane
306697	Ricky Nelson	If You Can't Rock Me
306735	Johnny Mathis	What Will My Mary Say
306743	Bob B. Soxx And The Blue Jeans	Why Do Lovers Break Each Other's Heart?
306745	Elvis Presley With The Mello Men	One Broken Heart For Sale
306746	Dion	Ruby Baby
306748	Arthur Lyman Group	Love For Sale
306749	Ray Charles and his Orchestra	Don't Set Me Free
306760	Jimmy Smith	Back At The Chicken Shack, Part 1
306770	Dickey Lee	Don't Wanna Think About Paula
306776	Charlie Byrd	Meditation (Meditacao)
306778	Ray Stevens	Funny Man
306791	The Shepherd Sisters	Don't Mention My Name
306797	The Shirelles	Not For All The Money In The World
306847	Paul and Paula	Hey Paula
306850	Little Eva	Let's Turkey Trot
306852	The Kingston Trio	Greenback Dollar
306854	Jan Bradley	Mama Didn't Lie
306855	Duane Eddy and the Rebelettes	Boss Guitar
306856	Neil Sedaka	Alice In Wonderland
306858	Chuck Jackson	Tell Him I'm Not Home
306859	Bobby Rydell	Butterfly Baby
306867	Vince Guaraldi Trio	Cast Your Fate To The Wind
306877	Rick Nelson	That's All
306896	The Valentinos (The Lovers)	I'll Make It Alright
306945	The Rooftop Singers	Walk Right In
306948	Lou Christie	The Gypsy Cried
306955	Marvin Gaye	Hitch Hike
306965	Cannonball Adderley	The Jive Samba
306976	Rick Nelson	I'm In Love Again
306978	Timi Yuro	Insult To Injury
306986	The Duprees featuring Joey Vann	Gone With The Wind
306993	Herb Alpert's Tijuana Brass	Marching Thru Madrid
307037	Sam Cooke	Send Me Some Lovin'
307046	Ned Miller	From A Jack To A King
307048	The Miracles	You've Really Got A Hold On Me
307049	Joe Harnell And His Orchestra	Fly Me To The Moon - Bossa Nova
307053	Bobby Bland	Call On Me
307056	Del Shannon	Little Town Flirt
307059	Bobby Bland	That's The Way Love Is
307060	Sammy Davis Jr.	As Long As She Needs Me
307062	Bobby Comstock	Let's Stomp
307075	Lou Monte	Pepino's Friend Pasqual (The Italian Pussy-Cat)
307084	Nat King Cole	Nothing Goes Up (Without Coming Down)
307090	Marty Robbins	Cigarettes And Coffee Blues
307092	Bobby Callender	Little Star
307095	Carl Butler & Pearl	Don't Let Me Cross Over
307097	Mary Wells	Two Wrongs Don't Make A Right
307146	The Crystals	He's Sure The Boy I Love
307156	The Drifters	Up On The Roof
307157	Elvis Presley With The Mello Men	They Remind Me Too Much Of You
307161	Teddy Randazzo	Big Wide World
307165	The Tornadoes	Ridin' The Wind
307166	The Dave Brubeck Quartet	Bossa Nova U.S.A.
307170	The Impressions	I'm The One Who Loves You
307172	Jimmy McGriff	All About My Girl
307173	Sam Cooke	Baby, Baby, Baby
307176	James Darren	Pin A Medal On Joey
307182	Richard Chamberlain	Hi-Lili, Hi-Lo
307184	The Matys Bros.	Who Stole The Keeshka?
307189	Ray Charles and his Orchestra	The Brightest Smile In Town
307190	Barbara Lynn	Don't Be Cruel
307192	The Demensions	My Foolish Heart
307241	Brenda Lee	Your Used To Be
307242	Bobby Vee	The Night Has A Thousand Eyes
307246	Steve Alaimo	Every Day I Have To Cry
307252	Paul Anka	Love (Makes the World Go 'round)
307263	Floyd Cramer	Java
307268	Little Esther Phillips	I Really Don't Want To Know
307279	Marcie Blane	What Does A Girl Do?
307285	Brian Hyland	If Mary's There
307288	Pat Boone	Meditation (Meditacao)
307293	The Ventures	The 2,000 Pound Bee (Part 2)
307295	Patti Page	Pretty Boy Lonely
307296	Tony Bennett	I Will Live My Life For You
307297	The Rumblers	Boss
307337	Johnny Thunder	Loop De Loop
307339	Steve Lawrence	Go Away Little Girl
307340	Rick Nelson	It's Up To You
307342	Gene Pitney	Half Heaven - Half Heartache
307344	Sandy Stewart	My Coloring Book
307345	The Pastel Six	The Cinnamon Cinder (It's A Very Nice Dance)
307350	Paul Petersen	My Dad
307351	Brenda Lee	She'll Never Know
307366	Peggy Lee	I'm A Woman
307368	The Marvelettes	Strange I Know
307373	Bent Fabric and His Piano	Chicken Feed
307392	George Maharis	Don't Fence Me In
307394	Jackie DeShannon	Faded Love
307442	Dickey Lee	I Saw Linda Yesterday
307445	The Alley Cats	Puddin N' Tain (Ask Me Again, I'll Tell You The Same)
307448	The Exciters	Tell Him
307450	Kitty Kallen	My Coloring Book
307453	Peter, Paul & Mary	Settle Down (Goin' Down That Highway)
307455	Connie Francis	I'm Gonna' Be Warm This Winter
307457	Johnny Crawford	Proud
307464	Dionne Warwick	Don't Make Me Over
307467	Mary Wells	Two Lovers
307468	Etta James	Would It Make Any Difference To You
307478	The Ribbons	Ain't Gonna Kiss Ya
307480	Patsy Cline	Leavin' On Your Mind
307489	Dean Martin	From The Bottom Of My Heart (Dammi, Dammi, Dammi)
307497	Mr. Acker Bilk	Only You (And You Alone)
307543	The Contours	Shake Sherry
307546	The Tornadoes	Telstar
307547	The Shirelles	Everybody Loves A Lover
307559	Flatt & Scruggs	The Ballad Of Jed Clampett
307564	Marion Worth	Shake Me I Rattle (Squeeze Me I Cry)
307566	Baby Jane & The Rockabyes	How Much Is That Doggie In The Window
307575	Don Covay	The Popeye Waddle
307582	Mike Clifford	What To Do With Laurie
307587	The Supremes	Let Me Go The Right Way
307588	The Duprees	I'd Rather Be Here In Your Arms
307589	The Furys	Zing! Went The Strings Of My Heart
307591	Connie Francis	Al Di La
307592	Jimmy McGriff	M.G. Blues
307597	Joey Dee	Baby, You're Driving Me Crazy
307636	Brook Benton	Hotel Happiness
307637	Lou Monte	Pepino The Italian Mouse
307642	The Earls	Remember Then
307644	Chubby Checker	Limbo Rock
307649	Bob B. Soxx And The Blue Jeans	Zip-A-Dee Doo-Dah
307665	LaVern Baker	See See Rider
307675	Sue Thompson	Willie Can
307679	The Moments	Walk Right In
307680	Rick Nelson	I Need You
307688	Shep And The Limelites	Remember Baby
307696	James Brown And The Famous Flames	Every Beat Of My Heart
